Number of lines received,Time
1,11.099
2,22.231
3,27.138
4,37.278
5,56.527
6,71.009
7,76.979
8,80.37
9,91.863
10,118.273
11,126.046
12,130.529
13,137.471
14,153.45
15,158.705
16,162.09
17,165.615
18,168.424
19,168.438
20,179.266
21,179.327
22,179.33
26,179.34
29,179.343
31,179.346
37,179.349
38,192.338
39,192.358
40,192.387
41,192.39
42,203.674
43,203.678
44,210.475
45,210.564
46,229.536
47,235.768
48,235.889
49,238.524
50,245.15
51,245.156
52,253.513
53,257.872
54,257.973
55,265.122
56,271.521
57,274.429
58,280.613
59,287.945
60,292.305
61,307.616
62,312.598
63,317.267
64,328.189
65,328.243
66,328.25
68,328.252
71,328.253
72,328.256
74,328.258
75,328.26
77,328.261
78,328.263
79,337.827
80,337.83
81,346.105
82,352.81
83,357.29
84,370.651
85,386.175
86,401.962
87,421.058
88,437.958
89,442.987
90,461.643
92,461.648
94,461.65
95,461.651
98,461.653
99,466.373
100,473.4
102,473.411
103,478.478
104,486.506
105,492.491
106,502.634
107,502.645
108,510.803
109,525.192
110,525.279
111,541.905
112,547.559
113,547.666
114,547.669
115,562.987
116,569.407
119,569.414
120,573.802
121,579.701
122,587.741
136,587.757
137,610.376
142,610.39
143,610.443
144,615.449
145,624.838
149,624.845
150,624.849
151,631.92
152,639.111
153,639.115
154,639.137
155,652.861
156,652.868
157,661.626
158,661.632
159,661.635
160,661.643
161,661.645
162,667.455
163,668.574
164,680.182
165,680.188
166,680.238
167,686.936
168,697.897
170,697.903
171,697.907
172,716.306
173,716.317
174,725.225
176,725.231
177,725.255
178,730.587
179,736.053
180,739.238
181,739.243
182,745.221
183,753.151
185,762.866
186,762.886
187,771.057
188,778.047
189,778.067
190,780.808
191,792.176
192,792.181
193,801.86
194,801.871
195,808.336
197,808.341
198,816.862
199,821.962
200,829.795
201,829.854
203,829.858
204,849.377
206,849.404
207,849.454
208,854.32
209,861.157
211,861.187
213,861.192
214,874.624
215,884.03
216,889.196
217,889.282
218,889.285
219,896.363
220,900.14
221,912.377
222,912.383
223,920.579
224,926.604
225,926.697
226,947.294
227,947.309
228,947.314
229,952.466
230,957.538
231,960.754
232,970.631
233,976.822
234,976.832
235,982.601
236,989.441
237,989.453
238,1003.86
239,1003.95
240,1011.59
241,1011.6
242,1018
243,1018
244,1023.59
245,1023.61
246,1023.61
247,1027.45
248,1030.93
249,1030.95
250,1030.96
251,1030.96
252,1042.07
253,1042.08
254,1049.97
255,1049.97
256,1058.55
257,1062.88
258,1062.89
259,1068.83
260,1070.51
261,1070.52
262,1077.71
263,1077.71
264,1090.7
265,1090.8
266,1098.36
267,1098.36
268,1108.4
269,1108.48
270,1118.32
271,1118.33
272,1127.07
273,1127.07
274,1136.73
275,1151.3
276,1156.01
277,1163.39
278,1168.31
279,1175.35
280,1180.84
281,1180.87
282,1188.22
283,1192.98
284,1202.12
285,1202.12
286,1215.35
287,1215.41
288,1222.53
289,1225.41
290,1231.37
291,1241.22
292,1241.88
293,1249.76
294,1249.8
295,1255.78
296,1255.87
297,1261.59
298,1277.12
299,1287.02
300,1296.45
301,1296.51
302,1304.1
303,1307.75
304,1307.79
305,1307.79
306,1319.35
307,1330.19
308,1338.69
309,1343.42
310,1349.85
311,1355.93
312,1368.9
313,1368.91
314,1375.29
315,1375.29
316,1375.37
317,1375.37
318,1375.37
319,1382.58
320,1384.08
321,1384.15
322,1395.19
324,1395.2
325,1395.2
326,1402.06
327,1407.34
328,1407.34
329,1407.36
330,1413.32
331,1416.94
332,1420.26
333,1420.27
334,1421.75
335,1428.83
336,1428.84
337,1428.85
338,1440.95
339,1444.77
340,1457.29
341,1457.37
342,1464.32
343,1467.69
344,1469.63
345,1469.63
346,1481.63
347,1481.66
348,1492.66
349,1498.51
350,1498.6
351,1505.1
352,1505.11
353,1510.9
354,1510.9
355,1521.43
356,1521.43
357,1526.18
358,1530.01
359,1530.02
360,1535.14
361,1540.61
362,1545.77
363,1545.8
364,1562.4
365,1567.13
366,1576.9
367,1585.43
368,1585.45
369,1596.31
370,1604.01
371,1611.61
372,1611.61
373,1611.62
374,1611.63
375,1620.26
376,1627.59
377,1633.74
379,1633.76
380,1633.84
381,1640.96
382,1649.27
383,1649.28
384,1651.62
385,1666.51
386,1670.99
387,1678.78
388,1684.64
389,1690.95
390,1693.2
391,1698.33
392,1710.45
393,1717
395,1732.92
396,1732.97
397,1740.46
398,1750.61
399,1760.27
400,1763.74
401,1770.1
402,1770.12
403,1783.07
404,1783.09
405,1789.49
406,1793.02
407,1796.3
408,1815.08
409,1815.09
410,1820.18
411,1827.62
413,1827.62
414,1835.54
415,1845.65
416,1856.58
417,1856.59
418,1880.13
419,1891.8
420,1896.67
421,1896.68
422,1999.89
425,1999.9
428,1999.9
429,2005.89
430,2019.06
431,2037.23
432,2048.71
433,2050.18
437,2050.18
440,2050.18
441,2050.18
442,2059.88
443,2059.89
444,2059.89
446,2059.89
448,2059.9
449,2063.25
450,2071.52
451,2071.53
452,2091.16
453,2094.5
454,2097.73
455,2102.91
456,2109.7
457,2113.88
458,2113.88
459,2126.15
460,2130.46
461,2133.72
462,2141.52
463,2141.52
464,2146.5
465,2153.28
466,2167.14
467,2178.12
468,2181.22
469,2185.47
470,2197.2
471,2201.21
472,2220.11
473,2233.97
474,2238.06
475,2241.01
476,2251.51
477,2251.52
478,2254.81
479,2254.83
480,2259.3
481,2266.09
482,2266.18
483,2280.49
484,2282.75
485,2292.79
486,2292.8
487,2292.9
488,2306.02
489,2312.77
490,2319.78
491,2323.42
492,2328.81
493,2352.83
494,2360.45
495,2406.36
496,2427.66
497,2440.36
498,2442.99
502,2443
503,2443.03
504,2449.96
505,2461.76
506,2463.71
507,2485.68
508,2485.8
509,2504.72
510,2508.2
511,2508.31
512,2515.46
513,2522.05
514,2524.82
516,2524.82
517,2528.77
518,2532.83
519,2532.84
520,2542.95
521,2543
522,2543.02
523,2557.68
524,2561.11
525,2570.52
526,2590.27
528,2590.28
529,2599.09
530,2599.18
531,2599.22
532,2613.36
533,2617.19
534,2633.47
535,2638.84
536,2649.43
537,2649.45
538,2671.16
539,2691.95
540,2692.07
541,2698.75
542,2707.03
543,2722.51
544,2722.54
545,2744.44
546,2751.88
547,2766.61
548,2766.72
549,2775.63
550,2775.64
551,2788
552,2793.54
553,2799.18
554,2813.72
555,2813.82
556,2813.82
559,2813.82
560,2813.84
561,2813.85
562,2822.91
563,2822.93
564,2822.95
565,2832.46
566,2841.34
567,2856.29
568,2860.26
569,2865.24
570,2878.06
571,2886.67
572,2898.43
573,2905.84
574,2911.22
575,2918.37
576,2918.46
577,2918.47
578,2930.7
579,2952.95
580,2953.01
581,2953.02
582,2963.29
583,2972.19
584,2983.83
585,2987.9
586,2987.96
587,3018.07
588,3018.21
589,3030.06
590,3046.42
591,3046.46
592,3062.97
593,3063
594,3109.62
595,3109.65
596,3160.02
597,3169.36
598,3228.32
602,3228.33
603,3240.39
604,3242.3
605,3242.31
606,3265.02
607,3265.05
608,3291.72
609,3316.62
610,3316.63
611,3337.72
612,3359.03
613,3366.79
614,3368.94
615,3368.95
616,3373.32
618,3376.75
619,3390.27
620,3397.53
621,3399.64
622,3415.52
623,3415.53
624,3436.9
625,3436.94
626,3446.31
627,3465.73
628,3489.63
629,3489.72
630,3499.97
631,3509.37
632,3509.4
633,3513.9
634,3528.39
635,3530.55
636,3531.94
637,3541.83
640,3541.84
641,3551.54
642,3556.14
643,3565.02
644,3572.89
645,3586.57
646,3588.33
647,3595.28
648,3596.3
649,3600.74
650,3606.48
651,3611.1
652,3618.92
653,3624.69
654,3665.99
655,3680.95
656,3680.96
657,3685.61
658,3690.91
659,3707.67
660,3723.16
661,3723.22
662,3734.74
663,3739.47
664,3739.52
668,3739.52
669,3746.84
670,3760.07
671,3776.93
672,3794.53
673,3794.54
674,3815.28
675,3815.3
676,3824.34
677,3830.68
678,3830.69
679,3856.18
680,3856.19
681,3860.17
682,3860.19
683,3865.75
684,3871.16
685,3895.58
686,3895.6
687,3900.52
688,3906.63
689,3911.48
690,3915.3
691,3924.66
692,3939.84
693,3953.69
694,3965.35
695,3982.41
696,3991.91
697,4001.23
698,4004.97
699,4031.43
700,4055.57
701,4059.78
702,4070.45
703,4075.67
704,4079.2
705,4083.46
706,4093.6
707,4098.12
708,4108
709,4125.66
710,4125.74
711,4131.29
712,4137.11
713,4148.63
715,4148.64
716,4148.66
717,4159.27
718,4159.28
719,4189.39
720,4200.42
721,4205.47
722,4206.29
723,4214.3
724,4222.55
726,4222.56
727,4232.78
728,4232.79
729,4232.81
730,4274.09
731,4289.16
732,4289.19
733,4298.6
734,4306.63
735,4324.13
736,4339.19
737,4351.33
738,4359
739,4382.42
740,4382.43
741,4399.96
742,4421.88
743,4428.13
744,4428.22
745,4437.21
746,4437.23
747,4449.91
748,4455.01
749,4455.02
750,4466.98
751,4473.35
752,4504.79
753,4518.74
754,4531.78
755,4552.52
756,4562.17
757,4571.81
758,4594.73
759,4606.25
760,4619.61
761,4627.85
762,4632.77
763,4650.78
764,4651.33
765,4653.15
766,4662.36
767,4710.42
768,4743.75
769,4754.9
770,4754.97
771,4754.98
772,4769.23
773,4772.29
774,4781.28
775,4781.3
776,4792.44
777,4821.45
778,4852.6
779,4858.77
780,4873.37
781,4873.44
782,4883.67
783,4927.79
784,4927.81
785,4941.13
786,4962.51
787,4969.01
788,4992.25
789,5009.71
790,5017.03
791,5035.74
792,5042.16
793,5052.82
794,5079.37
795,5096.96
796,5110.59
797,5130.32
798,5142.49
799,5142.5
800,5157.67
801,5187.46
802,5187.48
803,5210.39
804,5230.31
805,5261.9
806,5261.92
807,5269.05
808,5298.15
809,5353.64
810,5396.88
811,5407.75
812,5407.77
813,5419.98
814,5452.8
815,5452.84
816,5459.34
817,5459.35
818,5479.12
819,5487.8
820,5511.07
821,5558.59
822,5562.51
823,5571.28
824,5611.17
825,5629.56
826,5674.57
827,5676.89
828,5681.61
829,5715.3
830,5725.25
831,5740.72
832,5766.91
833,5789.11
834,5804.36
835,5829.74
836,5863
837,5872.31
838,5898.86
839,5926.89
840,5942.18
841,6049.65
842,6063.56
843,6071.73
844,6095.72
845,6151.35
846,6177.67
847,6215.67
848,6243.62
849,6307.22
850,6318.57
851,6447.26
852,6447.28
853,6476.49
854,6497.01
855,6504.41
856,6512.2
857,6525.76
858,6562.07
859,6591.02
860,6613.94
861,6668.74
862,6684.16
863,6701.95
864,6727.04
865,6734.55
866,6780.64
867,6801.33
868,6826.57
869,6839.72
870,6844.83
871,6850.07
872,6861.19
873,6896.94
874,6905.11
875,7017.59
876,7017.7
877,7024.53
878,7043.78
879,7048.56
880,7048.69
881,7060.65
882,7104.13
883,7154.66
884,7192.18
885,7200.64
886,7239.99
887,7247.43
888,7273.68
889,7276.97
890,7389.96
891,7451.93
892,7468.66
893,7472.37
894,7490.76
895,7530.64
896,7585.63
897,7606.86
898,7644.77
899,7663
900,7743.64
901,7753.58
902,7753.59
903,7770.72
904,7780.24
905,7812.76
906,7883.12
907,8034.52
908,8063.49
909,8116.89
910,8412.91
911,8436.05
912,8452.27
913,8460.07
914,8472.6
915,8472.61
916,8491.32
917,8518.14
918,8574.16
919,8591.09
920,8591.12
921,8630.65
922,8645.73
923,8836.45
924,8836.53
925,8962.94
926,8974.33
927,8974.35
928,9030.6
929,9109.35
930,9120.81
931,9124.95
932,9235.85
933,9244.61
934,9422.13
935,9599.56
936,9631.39
937,9631.41
938,9702.12
939,9702.15
940,9749.9
941,9769.91
942,9878.19
943,10118.6
944,10178.2
945,10215.5
946,10229.3
947,10246.6
948,10278.4
949,10298.4
950,10370.6
951,10436.9
952,10503.9
953,10874.9
954,10998.9
955,10998.9
956,11220.5
957,11290.3
958,11625.1
959,12055.5
960,12100.6
961,12234
962,12306.6
963,12440.7
964,12582.6
965,12645.1
966,12645.2
967,12687.6
968,12705.5
969,12904.3
970,13063.3
971,13063.3
972,13463.5
973,13463.5
974,13943.7
975,13972.8
976,14085.6
977,14144.8
978,14280.2
979,14337.9
980,14536.3
981,14655.2
982,14881.5
983,15109
984,15166.4
985,15817.7
986,16106.5
987,16216.9
988,17049
989,17308.8
